id,key,value,type
352862919,highway,motorway_junction,regular
357575319,ele,74,regular
357575319,name,Old Tarrytown Road School,regular
357575319,amenity,school,regular
357575319,created,01/23/1980,gnis
357575319,state_id,36,gnis
357575319,county_id,119,gnis
357575319,feature_id,959329,gnis
357581826,ele,128,regular
357581826,name,Red Schoolhouse,regular
357581826,amenity,school,regular
357581826,created_by,Potlatch 0.10f,regular
357581826,created,01/23/1980,gnis
357581826,state_id,36,gnis
357581826,county_id,087,gnis
357581826,feature_id,962324,gnis
357594666,ele,91,regular
357594666,name,Susan E Wagner High School,regular
357594666,amenity,school,regular
357594666,edited,10/27/2005,gnis
357594666,created,01/23/1980,gnis
357594666,state_id,36,gnis
357594666,county_id,085,gnis
357594666,feature_id,968634,gnis
357595350,ele,3,regular
357595350,name,Waverly Park Elementary School,regular
357595350,amenity,school,regular
357595350,created,01/23/1980,gnis
357595350,state_id,36,gnis
357595350,county_id,059,gnis
357595350,feature_id,968942,gnis
357607011,ele,70,regular
357607011,name,WPOB-FM (Plainview),regular
357607011,man_made,tower,regular
357607011,created,08/01/1994,gnis
357607011,state_id,36,gnis
357607011,county_id,059,gnis
357607011,feature_id,978583,gnis
357609506,ele,53,regular
357609506,name,Mount Hebron Apostolic Temple,regular
357609506,amenity,place_of_worship,regular
357609506,created,01/01/2000,gnis
357609506,state_id,36,gnis
357609506,county_id,119,gnis
357609506,feature_id,2062293,gnis
357609933,ele,22,regular
357609933,name,Saint Mary's Chapel,regular
357609933,amenity,place_of_worship,regular
357609933,religion,christian,regular
357609933,created,01/01/2000,gnis
357609933,state_id,36,gnis
357609933,county_id,119,gnis
357609933,feature_id,2062753,gnis
357610003,ele,48,regular
357610003,name,Westchester Orthodox Presbyterian Church,regular
357610003,amenity,place_of_worship,regular
357610003,religion,christian,regular
357610003,created,01/01/2000,gnis
357610003,state_id,36,gnis
357610003,county_id,119,gnis
357610003,feature_id,2062836,gnis
357610557,ele,11,regular
357610557,name,Public School 124,regular
357610557,amenity,school,regular
357610557,wheelchair,limited,regular
357610557,created,01/01/2000,gnis
357610557,state_id,36,gnis
357610557,county_id,061,gnis
357610557,feature_id,2063258,gnis
357613025,ele,3,regular
357613025,name,Bethany Congregational Church,regular
357613025,amenity,place_of_worship,regular
357613025,religion,christian,regular
357613025,created,10/28/2005,gnis
357613025,state_id,36,gnis
357613025,county_id,059,gnis
357613025,feature_id,2074166,gnis
357613142,ele,10,regular
357613142,name,Church of the Intercessor,regular
357613142,amenity,place_of_worship,regular
357613142,religion,christian,regular
357613142,created,10/28/2005,gnis
357613142,state_id,36,gnis
357613142,county_id,059,gnis
357613142,feature_id,2074197,gnis
357613170,ele,4,regular
357613170,name,Oceanside Lutheran Church,regular
357613170,amenity,place_of_worship,regular
357613170,religion,christian,regular
357613170,denomination,lutheran,regular
357613170,created,10/28/2005,gnis
357613170,state_id,36,gnis
357613170,county_id,059,gnis
357613170,feature_id,2074204,gnis
357613703,ele,4,regular
357613703,name,First Presbyterian Church,regular
357613703,amenity,place_of_worship,regular
357613703,religion,christian,regular
357613703,created,10/28/2005,gnis
357613703,state_id,36,gnis
357613703,county_id,059,gnis
357613703,feature_id,2074493,gnis
357616145,ele,13,regular
357616145,name,Full Gospel Christian Church,regular
357616145,amenity,place_of_worship,regular
357616145,religion,christian,regular
357616145,created,11/07/2005,gnis
357616145,state_id,36,gnis
357616145,county_id,103,gnis
357616145,feature_id,2076748,gnis
357617138,ele,8,regular
357617138,name,Saint Anthony of Padua Church,regular
357617138,amenity,place_of_worship,regular
357617138,religion,christian,regular
357617138,created,11/21/2005,gnis
357617138,state_id,36,gnis
